LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_150213.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.48408287013643253
SE__cum_dice;958.0
SE__f1measure;0.6523663602315287
SE__f1measure_exact;0.6523663602315287
SE__precision;0.48927477017364657
SE__precision_exact;0.48927477017364657
SE__recall;0.9785495403472931
SE__recall_exact;0.9785495403472931
SE_a1;979.0
SE_a2;1958.0
SE_fn;21.0
SE_fn_exact;21.0
SE_fp;1000.0
SE_fp_exact;1000.0
SE_tp;958.0
SE_tp_exact;958.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9748427672955975
target_SE__avg_dice;0.3399122807017544
target_SE__cum_dice;155.0
target_SE__f1measure;0.5170731707317073
target_SE__f1measure_exact;0.48756218905472637
target_SE__precision;0.4542857142857143
target_SE__precision_exact;0.4349112426035503
target_SE__recall;0.6
target_SE__recall_exact;0.5547169811320755
target_SE_fn;106.0
target_SE_fn_exact;118.0
target_SE_fp;191.0
target_SE_fp_exact;203.0
target_SE_tp;159.0
target_SE_tp_exact;147.0
target__avg_TP_dice;0.9748427672955975
target__avg_dice;0.24143302180685358
target__cum_dice;155.0
target__f1measure;0.3970037453183521
target__f1measure_exact;0.37262357414448666
target__precision;0.29831144465290804
target__precision_exact;0.2821497120921305
target__recall;0.5932835820895522
target__recall_exact;0.5485074626865671
target_fn;109.0
target_fn_exact;121.0
target_fp;374.0
target_fp_exact;386.0
target_tp;159.0
target_tp_exact;147.0
