LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-15_172808.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.4739583333333333
SE__cum_dice;546.0
SE__f1measure;0.6431095406360425
SE__f1measure_exact;0.6431095406360425
SE__precision;0.7593880389429764
SE__precision_exact;0.7593880389429764
SE__recall;0.557711950970378
SE__recall_exact;0.557711950970378
SE_a1;979.0
SE_a2;719.0
SE_fn;433.0
SE_fn_exact;433.0
SE_fp;173.0
SE_fp_exact;173.0
SE_tp;546.0
SE_tp_exact;546.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.982078853046595
target_SE__avg_dice;0.4328593996840443
target_SE__cum_dice;91.33333333333334
target_SE__f1measure;0.6118421052631579
target_SE__f1measure_exact;0.588628762541806
target_SE__precision;0.6038961038961039
target_SE__precision_exact;0.5906040268456376
target_SE__recall;0.62
target_SE__recall_exact;0.5866666666666667
target_SE_fn;57.0
target_SE_fn_exact;62.0
target_SE_fp;61.0
target_SE_fp_exact;66.0
target_SE_tp;93.0
target_SE_tp_exact;88.0
target__avg_TP_dice;0.982078853046595
target__avg_dice;0.2523020257826888
target__cum_dice;91.33333333333334
target__f1measure;0.40879120879120884
target__f1measure_exact;0.39111111111111113
target__precision;0.49732620320855614
target__precision_exact;0.4835164835164835
target__recall;0.34701492537313433
target__recall_exact;0.3283582089552239
target_fn;175.0
target_fn_exact;180.0
target_fp;94.0
target_fp_exact;99.0
target_tp;93.0
target_tp_exact;88.0
