LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-15_173047.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.4739583333333333
SE__cum_dice;546.0
SE__f1measure;0.6431095406360425
SE__f1measure_exact;0.6431095406360425
SE__precision;0.7593880389429764
SE__precision_exact;0.7593880389429764
SE__recall;0.557711950970378
SE__recall_exact;0.557711950970378
SE_a1;979.0
SE_a2;719.0
SE_fn;433.0
SE_fn_exact;433.0
SE_fp;173.0
SE_fp_exact;173.0
SE_tp;546.0
SE_tp_exact;546.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9865319865319867
target_SE__avg_dice;0.2977642276422765
target_SE__cum_dice;97.66666666666669
target_SE__f1measure;0.4637002341920375
target_SE__f1measure_exact;0.4491725768321512
target_SE__precision;0.3574007220216607
target_SE__precision_exact;0.34798534798534797
target_SE__recall;0.66
target_SE__recall_exact;0.6333333333333333
target_SE_fn;51.0
target_SE_fn_exact;55.0
target_SE_fp;178.0
target_SE_fp_exact;182.0
target_SE_tp;99.0
target_SE_tp_exact;95.0
target__avg_TP_dice;0.9865319865319867
target__avg_dice;0.18255451713395643
target__cum_dice;97.66666666666669
target__f1measure;0.31230283911671924
target__f1measure_exact;0.3015873015873016
target__precision;0.27049180327868855
target__precision_exact;0.26243093922651933
target__recall;0.3694029850746269
target__recall_exact;0.35447761194029853
target_fn;169.0
target_fn_exact;173.0
target_fp;267.0
target_fp_exact;271.0
target_tp;99.0
target_tp_exact;95.0
