LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-19_105202.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.9560117302052786
SE__cum_dice;978.0
SE__f1measure;0.9775112443778111
SE__f1measure_exact;0.9775112443778111
SE__precision;0.9569471624266145
SE__precision_exact;0.9569471624266145
SE__recall;0.9989785495403473
SE__recall_exact;0.9989785495403473
SE_a1;979.0
SE_a2;1022.0
SE_fn;1.0
SE_fn_exact;1.0
SE_fp;44.0
SE_fp_exact;44.0
SE_tp;978.0
SE_tp_exact;978.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9743589743589745
target_SE__avg_dice;0.2528276779773786
target_SE__cum_dice;126.66666666666669
target_SE__f1measure;0.4120443740095088
target_SE__f1measure_exact;0.3864734299516908
target_SE__precision;0.35714285714285715
target_SE__precision_exact;0.3389830508474576
target_SE__recall;0.4868913857677903
target_SE__recall_exact;0.449438202247191
target_SE_fn;137.0
target_SE_fn_exact;147.0
target_SE_fp;234.0
target_SE_fp_exact;244.0
target_SE_tp;130.0
target_SE_tp_exact;120.0
target__avg_TP_dice;0.9743589743589745
target__avg_dice;0.23199023199023203
target__cum_dice;126.66666666666669
target__f1measure;0.38461538461538464
target__f1measure_exact;0.36036036036036034
target__precision;0.31862745098039214
target__precision_exact;0.3015075376884422
target__recall;0.48507462686567165
target__recall_exact;0.44776119402985076
target_fn;138.0
target_fn_exact;148.0
target_fp;278.0
target_fp_exact;288.0
target_tp;130.0
target_tp_exact;120.0
