LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-19_111200.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9741602067183464
target_SE__avg_dice;0.24028043339706823
target_SE__cum_dice;125.66666666666669
target_SE__f1measure;0.39570552147239263
target_SE__f1measure_exact;0.3707165109034268
target_SE__precision;0.3359375
target_SE__precision_exact;0.3181818181818182
target_SE__recall;0.48134328358208955
target_SE__recall_exact;0.44402985074626866
target_SE_fn;139.0
target_SE_fn_exact;149.0
target_SE_fp;255.0
target_SE_fp_exact;265.0
target_SE_tp;129.0
target_SE_tp_exact;119.0
target__avg_TP_dice;0.9741602067183464
target__avg_dice;0.24028043339706823
target__cum_dice;125.66666666666669
target__f1measure;0.39570552147239263
target__f1measure_exact;0.3707165109034268
target__precision;0.3359375
target__precision_exact;0.3181818181818182
target__recall;0.48134328358208955
target__recall_exact;0.44402985074626866
target_fn;139.0
target_fn_exact;149.0
target_fp;255.0
target_fp_exact;265.0
target_tp;129.0
target_tp_exact;119.0
