LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_151424.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9870550161812298
target_SE__avg_dice;0.21180555555555555
target_SE__cum_dice;101.66666666666667
target_SE__f1measure;0.35334476843910806
target_SE__f1measure_exact;0.34196891191709844
target_SE__precision;0.326984126984127
target_SE__precision_exact;0.3183279742765273
target_SE__recall;0.3843283582089552
target_SE__recall_exact;0.3694029850746269
target_SE_fn;165.0
target_SE_fn_exact;169.0
target_SE_fp;212.0
target_SE_fp_exact;216.0
target_SE_tp;103.0
target_SE_tp_exact;99.0
target__avg_TP_dice;0.9870550161812298
target__avg_dice;0.21180555555555555
target__cum_dice;101.66666666666667
target__f1measure;0.35334476843910806
target__f1measure_exact;0.34196891191709844
target__precision;0.326984126984127
target__precision_exact;0.3183279742765273
target__recall;0.3843283582089552
target__recall_exact;0.3694029850746269
target_fn;165.0
target_fn_exact;169.0
target_fp;212.0
target_fp_exact;216.0
target_tp;103.0
target_tp_exact;99.0
