LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-19_112627.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9748062015503876
target_SE__avg_dice;0.479047619047619
target_SE__cum_dice;167.66666666666666
target_SE__f1measure;0.6590038314176245
target_SE__f1measure_exact;0.62475442043222
target_SE__precision;0.6771653543307087
target_SE__precision_exact;0.6597510373443983
target_SE__recall;0.6417910447761194
target_SE__recall_exact;0.5932835820895522
target_SE_fn;96.0
target_SE_fn_exact;109.0
target_SE_fp;82.0
target_SE_fp_exact;95.0
target_SE_tp;172.0
target_SE_tp_exact;159.0
target__avg_TP_dice;0.9748062015503876
target__avg_dice;0.479047619047619
target__cum_dice;167.66666666666666
target__f1measure;0.6590038314176245
target__f1measure_exact;0.62475442043222
target__precision;0.6771653543307087
target__precision_exact;0.6597510373443983
target__recall;0.6417910447761194
target__recall_exact;0.5932835820895522
target_fn;96.0
target_fn_exact;109.0
target_fp;82.0
target_fp_exact;95.0
target_tp;172.0
target_tp_exact;159.0
