LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_151758.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3836964160224877
SE__cum_dice;546.0
SE__f1measure;0.5545962417470797
SE__f1measure_exact;0.5545962417470797
SE__precision;0.5515151515151515
SE__precision_exact;0.5515151515151515
SE__recall;0.557711950970378
SE__recall_exact;0.557711950970378
SE_a1;979.0
SE_a2;990.0
SE_fn;433.0
SE_fn_exact;433.0
SE_fp;444.0
SE_fp_exact;444.0
SE_tp;546.0
SE_tp_exact;546.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9858156028368793
target_SE__avg_dice;0.20501474926253685
target_SE__cum_dice;46.33333333333333
target_SE__f1measure;0.3443223443223443
target_SE__f1measure_exact;0.33210332103321033
target_SE__precision;0.3821138211382114
target_SE__precision_exact;0.371900826446281
target_SE__recall;0.31333333333333335
target_SE__recall_exact;0.3
target_SE_fn;103.0
target_SE_fn_exact;105.0
target_SE_fp;76.0
target_SE_fp_exact;78.0
target_SE_tp;47.0
target_SE_tp_exact;45.0
target__avg_TP_dice;0.9858156028368793
target__avg_dice;0.10250737463126842
target__cum_dice;46.33333333333333
target__f1measure;0.18837675350701402
target__f1measure_exact;0.18108651911468812
target__precision;0.20346320346320346
target__precision_exact;0.1965065502183406
target__recall;0.17537313432835822
target__recall_exact;0.16791044776119404
target_fn;221.0
target_fn_exact;223.0
target_fp;184.0
target_fp_exact;186.0
target_tp;47.0
target_tp_exact;45.0
