LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_133456.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.38445378151260506
SE__cum_dice;549.0
SE__f1measure;0.5553869499241275
SE__f1measure_exact;0.5553869499241275
SE__precision;0.5501002004008017
SE__precision_exact;0.5501002004008017
SE__recall;0.5607763023493361
SE__recall_exact;0.5607763023493361
SE_a1;979.0
SE_a2;998.0
SE_fn;430.0
SE_fn_exact;430.0
SE_fp;449.0
SE_fp_exact;449.0
SE_tp;549.0
SE_tp_exact;549.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.984496124031008
target_SE__avg_dice;0.425460636515913
target_SE__cum_dice;84.66666666666669
target_SE__f1measure;0.6035087719298246
target_SE__f1measure_exact;0.5836298932384341
target_SE__precision;0.6370370370370371
target_SE__precision_exact;0.6259541984732825
target_SE__recall;0.5733333333333334
target_SE__recall_exact;0.5466666666666666
target_SE_fn;64.0
target_SE_fn_exact;68.0
target_SE_fp;49.0
target_SE_fp_exact;53.0
target_SE_tp;86.0
target_SE_tp_exact;82.0
target__avg_TP_dice;0.984496124031008
target__avg_dice;0.21489001692047383
target__cum_dice;84.66666666666669
target__f1measure;0.35833333333333334
target__f1measure_exact;0.34453781512605036
target__precision;0.4056603773584906
target__precision_exact;0.3942307692307692
target__recall;0.3208955223880597
target__recall_exact;0.30597014925373134
target_fn;182.0
target_fn_exact;186.0
target_fp;126.0
target_fp_exact;130.0
target_tp;86.0
target_tp_exact;82.0
