LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-15_140212.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9802469135802472
target_SE__avg_dice;0.4022289766970619
target_SE__cum_dice;132.33333333333337
target_SE__f1measure;0.5818965517241379
target_SE__f1measure_exact;0.5570175438596491
target_SE__precision;0.6887755102040817
target_SE__precision_exact;0.675531914893617
target_SE__recall;0.503731343283582
target_SE__recall_exact;0.47388059701492535
target_SE_fn;133.0
target_SE_fn_exact;141.0
target_SE_fp;61.0
target_SE_fp_exact;69.0
target_SE_tp;135.0
target_SE_tp_exact;127.0
target__avg_TP_dice;0.9802469135802472
target__avg_dice;0.4022289766970619
target__cum_dice;132.33333333333337
target__f1measure;0.5818965517241379
target__f1measure_exact;0.5570175438596491
target__precision;0.6887755102040817
target__precision_exact;0.675531914893617
target__recall;0.503731343283582
target__recall_exact;0.47388059701492535
target_fn;133.0
target_fn_exact;141.0
target_fp;61.0
target_fp_exact;69.0
target_tp;135.0
target_tp_exact;127.0
