LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_153108.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.38445378151260506
SE__cum_dice;549.0
SE__f1measure;0.5553869499241275
SE__f1measure_exact;0.5553869499241275
SE__precision;0.5501002004008017
SE__precision_exact;0.5501002004008017
SE__recall;0.5607763023493361
SE__recall_exact;0.5607763023493361
SE_a1;979.0
SE_a2;998.0
SE_fn;430.0
SE_fn_exact;430.0
SE_fp;449.0
SE_fp_exact;449.0
SE_tp;549.0
SE_tp_exact;549.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9774774774774774
target_SE__avg_dice;0.23872387238723872
target_SE__cum_dice;72.33333333333333
target_SE__f1measure;0.3925729442970822
target_SE__f1measure_exact;0.3709677419354839
target_SE__precision;0.32599118942731276
target_SE__precision_exact;0.3108108108108108
target_SE__recall;0.49333333333333335
target_SE__recall_exact;0.46
target_SE_fn;76.0
target_SE_fn_exact;81.0
target_SE_fp;153.0
target_SE_fp_exact;158.0
target_SE_tp;74.0
target_SE_tp_exact;69.0
target__avg_TP_dice;0.9774774774774774
target__avg_dice;0.12116136236739251
target__cum_dice;72.33333333333333
target__f1measure;0.2205663189269747
target__f1measure_exact;0.2072072072072072
target__precision;0.18362282878411912
target__precision_exact;0.17336683417085427
target__recall;0.27611940298507465
target__recall_exact;0.2574626865671642
target_fn;194.0
target_fn_exact;199.0
target_fp;329.0
target_fp_exact;334.0
target_tp;74.0
target_tp_exact;69.0
