LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_134102.txt;gold standard + system
SE__avg_TP_dice;0.9992551210428304
SE__avg_dice;0.6083900226757369
SE__cum_dice;894.3333333333333
SE__f1measure;0.7568710359408034
SE__f1measure_exact;0.7558188743123149
SE__precision;0.6457431457431457
SE__precision_exact;0.6452312138728323
SE__recall;0.9141981613891726
SE__recall_exact;0.9121552604698672
SE_a1;979.0
SE_a2;1386.0
SE_fn;84.0
SE_fn_exact;86.0
SE_fp;491.0
SE_fp_exact;493.0
SE_tp;895.0
SE_tp_exact;893.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9770992366412218
target_SE__avg_dice;0.4398625429553267
target_SE__cum_dice;128.00000000000006
target_SE__f1measure;0.6208530805687204
target_SE__f1measure_exact;0.5907990314769975
target_SE__precision;0.7197802197802198
target_SE__precision_exact;0.7052023121387283
target_SE__recall;0.5458333333333333
target_SE__recall_exact;0.5083333333333333
target_SE_fn;109.0
target_SE_fn_exact;118.0
target_SE_fp;51.0
target_SE_fp_exact;60.0
target_SE_tp;131.0
target_SE_tp_exact;122.0
target__avg_TP_dice;0.9770992366412218
target__avg_dice;0.3208020050125315
target__cum_dice;128.00000000000006
target__f1measure;0.49433962264150944
target__f1measure_exact;0.46833013435700577
target__precision;0.5
target__precision_exact;0.48221343873517786
target__recall;0.48880597014925375
target__recall_exact;0.4552238805970149
target_fn;137.0
target_fn_exact;146.0
target_fp;131.0
target_fp_exact;140.0
target_tp;131.0
target_tp_exact;122.0
