LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_153351.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.5967523680649527
SE__cum_dice;882.0
SE__f1measure;0.747457627118644
SE__f1measure_exact;0.747457627118644
SE__precision;0.6386676321506155
SE__precision_exact;0.6386676321506155
SE__recall;0.9009193054136875
SE__recall_exact;0.9009193054136875
SE_a1;979.0
SE_a2;1381.0
SE_fn;97.0
SE_fn_exact;97.0
SE_fp;499.0
SE_fp_exact;499.0
SE_tp;882.0
SE_tp_exact;882.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.971830985915493
target_SE__avg_dice;0.20972644376899696
target_SE__cum_dice;69.0
target_SE__f1measure;0.3549999999999999
target_SE__f1measure_exact;0.3299492385786802
target_SE__precision;0.4329268292682927
target_SE__precision_exact;0.41139240506329117
target_SE__recall;0.3008474576271186
target_SE__recall_exact;0.2754237288135593
target_SE_fn;165.0
target_SE_fn_exact;171.0
target_SE_fp;93.0
target_SE_fp_exact;99.0
target_SE_tp;71.0
target_SE_tp_exact;65.0
target__avg_TP_dice;0.971830985915493
target__avg_dice;0.14712153518123666
target__cum_dice;69.0
target__f1measure;0.26296296296296295
target__f1measure_exact;0.24344569288389512
target__precision;0.2610294117647059
target__precision_exact;0.24436090225563908
target__recall;0.26492537313432835
target__recall_exact;0.24253731343283583
target_fn;197.0
target_fn_exact;203.0
target_fp;201.0
target_fp_exact;207.0
target_tp;71.0
target_tp_exact;65.0
