LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2017-01-07_154108.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3012173913043478
SE__cum_dice;866.0
SE__f1measure;0.462977813418872
SE__f1measure_exact;0.462977813418872
SE__precision;0.31354091238233167
SE__precision_exact;0.31354091238233167
SE__recall;0.8845760980592441
SE__recall_exact;0.8845760980592441
SE_a1;979.0
SE_a2;2762.0
SE_fn;113.0
SE_fn_exact;113.0
SE_fp;1896.0
SE_fp_exact;1896.0
SE_tp;866.0
SE_tp_exact;866.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9732360097323604
target_SE__avg_dice;0.4206098843322819
target_SE__cum_dice;133.33333333333337
target_SE__f1measure;0.6035242290748898
target_SE__f1measure_exact;0.5688487584650113
target_SE__precision;0.6227272727272727
target_SE__precision_exact;0.6028708133971292
target_SE__recall;0.5854700854700855
target_SE__recall_exact;0.5384615384615384
target_SE_fn;97.0
target_SE_fn_exact;108.0
target_SE_fp;83.0
target_SE_fp_exact;94.0
target_SE_tp;137.0
target_SE_tp_exact;126.0
target__avg_TP_dice;0.9732360097323604
target__avg_dice;0.14964459408903857
target__cum_dice;133.33333333333337
target__f1measure;0.26653696498054474
target__f1measure_exact;0.247787610619469
target__precision;0.18026315789473685
target__precision_exact;0.16822429906542055
target__recall;0.5111940298507462
target__recall_exact;0.4701492537313433
target_fn;131.0
target_fn_exact;142.0
target_fp;623.0
target_fp_exact;634.0
target_tp;137.0
target_tp_exact;126.0
