LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-19_152700.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9818840579710144
target_SE__avg_dice;0.2952069716775599
target_SE__cum_dice;90.33333333333333
target_SE__f1measure;0.4623115577889447
target_SE__f1measure_exact;0.4427480916030534
target_SE__precision;0.7076923076923077
target_SE__precision_exact;0.696
target_SE__recall;0.34328358208955223
target_SE__recall_exact;0.3246268656716418
target_SE_fn;176.0
target_SE_fn_exact;181.0
target_SE_fp;38.0
target_SE_fp_exact;43.0
target_SE_tp;92.0
target_SE_tp_exact;87.0
target__avg_TP_dice;0.9818840579710144
target__avg_dice;0.2952069716775599
target__cum_dice;90.33333333333333
target__f1measure;0.4623115577889447
target__f1measure_exact;0.4427480916030534
target__precision;0.7076923076923077
target__precision_exact;0.696
target__recall;0.34328358208955223
target__recall_exact;0.3246268656716418
target_fn;176.0
target_fn_exact;181.0
target_fp;38.0
target_fp_exact;43.0
target_tp;92.0
target_tp_exact;87.0
LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-19_152702.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9818840579710144
target_SE__avg_dice;0.2952069716775599
target_SE__cum_dice;90.33333333333333
target_SE__f1measure;0.4623115577889447
target_SE__f1measure_exact;0.4427480916030534
target_SE__precision;0.7076923076923077
target_SE__precision_exact;0.696
target_SE__recall;0.34328358208955223
target_SE__recall_exact;0.3246268656716418
target_SE_fn;176.0
target_SE_fn_exact;181.0
target_SE_fp;38.0
target_SE_fp_exact;43.0
target_SE_tp;92.0
target_SE_tp_exact;87.0
target__avg_TP_dice;0.9818840579710144
target__avg_dice;0.2952069716775599
target__cum_dice;90.33333333333333
target__f1measure;0.4623115577889447
target__f1measure_exact;0.4427480916030534
target__precision;0.7076923076923077
target__precision_exact;0.696
target__recall;0.34328358208955223
target__recall_exact;0.3246268656716418
target_fn;176.0
target_fn_exact;181.0
target_fp;38.0
target_fp_exact;43.0
target_tp;92.0
target_tp_exact;87.0
