LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-16_184758.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9701492537313438
target_SE__avg_dice;0.41139240506329133
target_SE__cum_dice;130.00000000000006
target_SE__f1measure;0.5955555555555556
target_SE__f1measure_exact;0.5570776255707762
target_SE__precision;0.7362637362637363
target_SE__precision_exact;0.7176470588235294
target_SE__recall;0.5
target_SE__recall_exact;0.4552238805970149
target_SE_fn;134.0
target_SE_fn_exact;146.0
target_SE_fp;48.0
target_SE_fp_exact;60.0
target_SE_tp;134.0
target_SE_tp_exact;122.0
target__avg_TP_dice;0.9701492537313438
target__avg_dice;0.41139240506329133
target__cum_dice;130.00000000000006
target__f1measure;0.5955555555555556
target__f1measure_exact;0.5570776255707762
target__precision;0.7362637362637363
target__precision_exact;0.7176470588235294
target__recall;0.5
target__recall_exact;0.4552238805970149
target_fn;134.0
target_fn_exact;146.0
target_fp;48.0
target_fp_exact;60.0
target_tp;134.0
target_tp_exact;122.0
