LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-15_173350.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.4739583333333333
SE__cum_dice;546.0
SE__f1measure;0.6431095406360425
SE__f1measure_exact;0.6431095406360425
SE__precision;0.7593880389429764
SE__precision_exact;0.7593880389429764
SE__recall;0.557711950970378
SE__recall_exact;0.557711950970378
SE_a1;979.0
SE_a2;719.0
SE_fn;433.0
SE_fn_exact;433.0
SE_fp;173.0
SE_fp_exact;173.0
SE_tp;546.0
SE_tp_exact;546.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9770114942528737
target_SE__avg_dice;0.24355300859598858
target_SE__cum_dice;85.00000000000001
target_SE__f1measure;0.39908256880733944
target_SE__f1measure_exact;0.37674418604651166
target_SE__precision;0.3041958041958042
target_SE__precision_exact;0.2892857142857143
target_SE__recall;0.58
target_SE__recall_exact;0.54
target_SE_fn;63.0
target_SE_fn_exact;69.0
target_SE_fp;199.0
target_SE_fp_exact;205.0
target_SE_tp;87.0
target_SE_tp_exact;81.0
target__avg_TP_dice;0.9770114942528737
target__avg_dice;0.15398550724637683
target__cum_dice;85.00000000000001
target__f1measure;0.27230046948356806
target__f1measure_exact;0.2559241706161137
target__precision;0.23450134770889489
target__precision_exact;0.2219178082191781
target__recall;0.3246268656716418
target__recall_exact;0.30223880597014924
target_fn;181.0
target_fn_exact;187.0
target_fp;284.0
target_fp_exact;290.0
target_tp;87.0
target_tp_exact;81.0
