LOGFILE_constituency_parse.annotated_extended_a1_gold standard_a2_system_2016-11-01_132656.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3615782664941785
SE__cum_dice;559.0
SE__f1measure;0.5311163895486936
SE__f1measure_exact;0.5311163895486936
SE__precision;0.5629405840886204
SE__precision_exact;0.5629405840886204
SE__recall;0.5026978417266187
SE__recall_exact;0.5026978417266187
SE_a1;1112.0
SE_a2;993.0
SE_fn;553.0
SE_fn_exact;553.0
SE_fp;434.0
SE_fp_exact;434.0
SE_tp;559.0
SE_tp_exact;559.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9858156028368793
target_SE__avg_dice;0.19225449515905946
target_SE__cum_dice;46.33333333333333
target_SE__f1measure;0.3263888888888889
target_SE__f1measure_exact;0.3146853146853147
target_SE__precision;0.34306569343065696
target_SE__precision_exact;0.3333333333333333
target_SE__recall;0.31125827814569534
target_SE__recall_exact;0.2980132450331126
target_SE_fn;104.0
target_SE_fn_exact;106.0
target_SE_fp;90.0
target_SE_fp_exact;92.0
target_SE_tp;47.0
target_SE_tp_exact;45.0
target__avg_TP_dice;0.9858156028368793
target__avg_dice;0.09652777777777777
target__cum_dice;46.33333333333333
target__f1measure;0.17836812144212524
target__f1measure_exact;0.17142857142857143
target__precision;0.1865079365079365
target__precision_exact;0.18
target__recall;0.1709090909090909
target__recall_exact;0.16363636363636364
target_fn;228.0
target_fn_exact;230.0
target_fp;205.0
target_fp_exact;207.0
target_tp;47.0
target_tp_exact;45.0
