LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-19_102016.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3836964160224877
SE__cum_dice;546.0
SE__f1measure;0.5545962417470797
SE__f1measure_exact;0.5545962417470797
SE__precision;0.5515151515151515
SE__precision_exact;0.5515151515151515
SE__recall;0.557711950970378
SE__recall_exact;0.557711950970378
SE_a1;979.0
SE_a2;990.0
SE_fn;433.0
SE_fn_exact;433.0
SE_fp;444.0
SE_fp_exact;444.0
SE_tp;546.0
SE_tp_exact;546.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9855072463768115
target_SE__avg_dice;0.19373219373219372
target_SE__cum_dice;45.33333333333333
target_SE__f1measure;0.3285714285714285
target_SE__f1measure_exact;0.31654676258992803
target_SE__precision;0.35384615384615387
target_SE__precision_exact;0.34375
target_SE__recall;0.30666666666666664
target_SE__recall_exact;0.29333333333333333
target_SE_fn;104.0
target_SE_fn_exact;106.0
target_SE_fp;84.0
target_SE_fp_exact;86.0
target_SE_tp;46.0
target_SE_tp_exact;44.0
target__avg_TP_dice;0.9855072463768115
target__avg_dice;0.09645390070921984
target__cum_dice;45.33333333333333
target__f1measure;0.17829457364341084
target__f1measure_exact;0.17120622568093385
target__precision;0.18548387096774194
target__precision_exact;0.17886178861788618
target__recall;0.17164179104477612
target__recall_exact;0.16417910447761194
target_fn;222.0
target_fn_exact;224.0
target_fp;202.0
target_fp_exact;204.0
target_tp;46.0
target_tp_exact;44.0
