LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-30_165951.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.48483316481294236
SE__cum_dice;959.0
SE__f1measure;0.6530473272046305
SE__f1measure_exact;0.6530473272046305
SE__precision;0.48978549540347294
SE__precision_exact;0.48978549540347294
SE__recall;0.9795709908069459
SE__recall_exact;0.9795709908069459
SE_a1;979.0
SE_a2;1958.0
SE_fn;20.0
SE_fn_exact;20.0
SE_fp;999.0
SE_fp_exact;999.0
SE_tp;959.0
SE_tp_exact;959.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9727463312368972
target_SE__avg_dice;0.33770014556040756
target_SE__cum_dice;154.66666666666666
target_SE__f1measure;0.5153970826580226
target_SE__f1measure_exact;0.48344370860927155
target_SE__precision;0.45170454545454547
target_SE__precision_exact;0.4306784660766962
target_SE__recall;0.6
target_SE__recall_exact;0.5509433962264151
target_SE_fn;106.0
target_SE_fn_exact;119.0
target_SE_fp;193.0
target_SE_fp_exact;206.0
target_SE_tp;159.0
target_SE_tp_exact;146.0
target__avg_TP_dice;0.9727463312368972
target__avg_dice;0.23613231552162847
target__cum_dice;154.66666666666666
target__f1measure;0.3906633906633907
target__f1measure_exact;0.3645443196004993
target__precision;0.29120879120879123
target__precision_exact;0.27392120075046905
target__recall;0.5932835820895522
target__recall_exact;0.5447761194029851
target_fn;109.0
target_fn_exact;122.0
target_fp;387.0
target_fp_exact;400.0
target_tp;159.0
target_tp_exact;146.0
