LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-30_154226.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9739952718676126
target_SE__avg_dice;0.4225641025641027
target_SE__cum_dice;137.33333333333337
target_SE__f1measure;0.6051502145922747
target_SE__f1measure_exact;0.5714285714285714
target_SE__precision;0.7121212121212122
target_SE__precision_exact;0.6951871657754011
target_SE__recall;0.5261194029850746
target_SE__recall_exact;0.48507462686567165
target_SE_fn;127.0
target_SE_fn_exact;138.0
target_SE_fp;57.0
target_SE_fp_exact;68.0
target_SE_tp;141.0
target_SE_tp_exact;130.0
target__avg_TP_dice;0.9739952718676126
target__avg_dice;0.4225641025641027
target__cum_dice;137.33333333333337
target__f1measure;0.6051502145922747
target__f1measure_exact;0.5714285714285714
target__precision;0.7121212121212122
target__precision_exact;0.6951871657754011
target__recall;0.5261194029850746
target__recall_exact;0.48507462686567165
target_fn;127.0
target_fn_exact;138.0
target_fp;57.0
target_fp_exact;68.0
target_tp;141.0
target_tp_exact;130.0
