LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-19_102400.txt;gold standard + system
SE__avg_TP_dice;0.9993190330268981
SE__avg_dice;0.9982993197278911
SE__cum_dice;978.3333333333333
SE__f1measure;0.9994895354772844
SE__f1measure_exact;0.9984670413898825
SE__precision;0.9989795918367347
SE__precision_exact;0.9989775051124744
SE__recall;1.0
SE__recall_exact;0.9979570990806946
SE_a1;979.0
SE_a2;980.0
SE_fn;0.0
SE_fn_exact;2.0
SE_fp;1.0
SE_fp_exact;3.0
SE_tp;979.0
SE_tp_exact;977.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9734848484848487
target_SE__avg_dice;0.22783687943262415
target_SE__cum_dice;85.66666666666669
target_SE__f1measure;0.37931034482758624
target_SE__f1measure_exact;0.3544857768052516
target_SE__precision;0.4489795918367347
target_SE__precision_exact;0.42857142857142855
target_SE__recall;0.3283582089552239
target_SE__recall_exact;0.30223880597014924
target_SE_fn;180.0
target_SE_fn_exact;187.0
target_SE_fp;108.0
target_SE_fp_exact;115.0
target_SE_tp;88.0
target_SE_tp_exact;81.0
target__avg_TP_dice;0.9734848484848487
target__avg_dice;0.22783687943262415
target__cum_dice;85.66666666666669
target__f1measure;0.37931034482758624
target__f1measure_exact;0.3544857768052516
target__precision;0.4489795918367347
target__precision_exact;0.42857142857142855
target__recall;0.3283582089552239
target__recall_exact;0.30223880597014924
target_fn;180.0
target_fn_exact;187.0
target_fp;108.0
target_fp_exact;115.0
target_tp;88.0
target_tp_exact;81.0
