LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-03_174620.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3928820655966504
SE__cum_dice;563.0
SE__f1measure;0.5641282565130261
SE__f1measure_exact;0.5641282565130261
SE__precision;0.5535889872173058
SE__precision_exact;0.5535889872173058
SE__recall;0.575076608784474
SE__recall_exact;0.575076608784474
SE_a1;979.0
SE_a2;1017.0
SE_fn;416.0
SE_fn_exact;416.0
SE_fp;454.0
SE_fp_exact;454.0
SE_tp;563.0
SE_tp_exact;563.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9848484848484851
target_SE__avg_dice;0.4146730462519937
target_SE__cum_dice;86.66666666666669
target_SE__f1measure;0.5925925925925927
target_SE__f1measure_exact;0.5733788395904438
target_SE__precision;0.6197183098591549
target_SE__precision_exact;0.6086956521739131
target_SE__recall;0.567741935483871
target_SE__recall_exact;0.5419354838709678
target_SE_fn;67.0
target_SE_fn_exact;71.0
target_SE_fp;54.0
target_SE_fp_exact;58.0
target_SE_tp;88.0
target_SE_tp_exact;84.0
target__avg_TP_dice;0.9848484848484851
target__avg_dice;0.21830394626364405
target__cum_dice;86.66666666666669
target__f1measure;0.3628865979381444
target__f1measure_exact;0.3492723492723493
target__precision;0.4055299539170507
target__precision_exact;0.39436619718309857
target__recall;0.3283582089552239
target__recall_exact;0.31343283582089554
target_fn;180.0
target_fn_exact;184.0
target_fp;129.0
target_fp_exact;133.0
target_tp;88.0
target_tp_exact;84.0
