LOGFILE_constituency_parse.annotated_extended_a1_gold standard_a2_system_2016-11-19_180653.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3779935275080906
SE__cum_dice;584.0
SE__f1measure;0.5486143729450446
SE__f1measure_exact;0.5486143729450446
SE__precision;0.5742379547689282
SE__precision_exact;0.5742379547689282
SE__recall;0.5251798561151079
SE__recall_exact;0.5251798561151079
SE_a1;1112.0
SE_a2;1017.0
SE_fn;528.0
SE_fn_exact;528.0
SE_fp;433.0
SE_fp_exact;433.0
SE_tp;584.0
SE_tp_exact;584.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9819819819819823
target_SE__avg_dice;0.40823970037453194
target_SE__cum_dice;72.66666666666669
target_SE__f1measure;0.5873015873015872
target_SE__f1measure_exact;0.5645161290322581
target_SE__precision;0.7708333333333334
target_SE__precision_exact;0.7608695652173914
target_SE__recall;0.47435897435897434
target_SE__recall_exact;0.44871794871794873
target_SE_fn;82.0
target_SE_fn_exact;86.0
target_SE_fp;22.0
target_SE_fp_exact;26.0
target_SE_tp;74.0
target_SE_tp_exact;70.0
target__avg_TP_dice;0.9819819819819823
target__avg_dice;0.21185617103984455
target__cum_dice;72.66666666666669
target__f1measure;0.354916067146283
target__f1measure_exact;0.3389830508474576
target__precision;0.5211267605633803
target__precision_exact;0.5072463768115942
target__recall;0.2690909090909091
target__recall_exact;0.2545454545454545
target_fn;201.0
target_fn_exact;205.0
target_fp;68.0
target_fp_exact;72.0
target_tp;74.0
target_tp_exact;70.0
