LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-03_161938.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3928820655966504
SE__cum_dice;563.0
SE__f1measure;0.5641282565130261
SE__f1measure_exact;0.5641282565130261
SE__precision;0.5535889872173058
SE__precision_exact;0.5535889872173058
SE__recall;0.575076608784474
SE__recall_exact;0.575076608784474
SE_a1;979.0
SE_a2;1017.0
SE_fn;416.0
SE_fn_exact;416.0
SE_fp;454.0
SE_fp_exact;454.0
SE_tp;563.0
SE_tp_exact;563.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9817351598173518
target_SE__avg_dice;0.4048964218455745
target_SE__cum_dice;71.66666666666669
target_SE__f1measure;0.584
target_SE__f1measure_exact;0.5609756097560975
target_SE__precision;0.7684210526315789
target_SE__precision_exact;0.7582417582417582
target_SE__recall;0.47096774193548385
target_SE__recall_exact;0.44516129032258067
target_SE_fn;82.0
target_SE_fn_exact;86.0
target_SE_fp;22.0
target_SE_fp_exact;26.0
target_SE_tp;73.0
target_SE_tp_exact;69.0
target__avg_TP_dice;0.9817351598173518
target__avg_dice;0.21266073194856583
target__cum_dice;71.66666666666669
target__f1measure;0.3560975609756098
target__f1measure_exact;0.33990147783251234
target__precision;0.5140845070422535
target__precision_exact;0.5
target__recall;0.27238805970149255
target__recall_exact;0.2574626865671642
target_fn;195.0
target_fn_exact;199.0
target_fp;69.0
target_fp_exact;73.0
target_tp;73.0
target_tp_exact;69.0
