LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-19_102645.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3836964160224877
SE__cum_dice;546.0
SE__f1measure;0.5545962417470797
SE__f1measure_exact;0.5545962417470797
SE__precision;0.5515151515151515
SE__precision_exact;0.5515151515151515
SE__recall;0.557711950970378
SE__recall_exact;0.557711950970378
SE_a1;979.0
SE_a2;990.0
SE_fn;433.0
SE_fn_exact;433.0
SE_fp;444.0
SE_fp_exact;444.0
SE_tp;546.0
SE_tp_exact;546.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9846743295019159
target_SE__avg_dice;0.4220032840722497
target_SE__cum_dice;85.66666666666669
target_SE__f1measure;0.6
target_SE__f1measure_exact;0.5804195804195804
target_SE__precision;0.6214285714285714
target_SE__precision_exact;0.6102941176470589
target_SE__recall;0.58
target_SE__recall_exact;0.5533333333333333
target_SE_fn;63.0
target_SE_fn_exact;67.0
target_SE_fp;53.0
target_SE_fp_exact;57.0
target_SE_tp;87.0
target_SE_tp_exact;83.0
target__avg_TP_dice;0.9846743295019159
target__avg_dice;0.21687763713080174
target__cum_dice;85.66666666666669
target__f1measure;0.36099585062240663
target__f1measure_exact;0.3472803347280335
target__precision;0.40654205607476634
target__precision_exact;0.3952380952380952
target__recall;0.3246268656716418
target__recall_exact;0.30970149253731344
target_fn;181.0
target_fn_exact;185.0
target_fp;127.0
target_fp_exact;131.0
target_tp;87.0
target_tp_exact;83.0
