LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-19_115925.txt;gold standard + system
SE__avg_TP_dice;0.9993190330268981
SE__avg_dice;0.9982993197278911
SE__cum_dice;978.3333333333333
SE__f1measure;0.9994895354772844
SE__f1measure_exact;0.9984670413898825
SE__precision;0.9989795918367347
SE__precision_exact;0.9989775051124744
SE__recall;1.0
SE__recall_exact;0.9979570990806946
SE_a1;979.0
SE_a2;980.0
SE_fn;0.0
SE_fn_exact;2.0
SE_fp;1.0
SE_fp_exact;3.0
SE_tp;979.0
SE_tp_exact;977.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9745370370370371
target_SE__avg_dice;0.42915392456676865
target_SE__cum_dice;140.33333333333334
target_SE__f1measure;0.6114649681528662
target_SE__f1measure_exact;0.5782608695652174
target_SE__precision;0.7093596059113301
target_SE__precision_exact;0.6927083333333334
target_SE__recall;0.5373134328358209
target_SE__recall_exact;0.4962686567164179
target_SE_fn;124.0
target_SE_fn_exact;135.0
target_SE_fp;59.0
target_SE_fp_exact;70.0
target_SE_tp;144.0
target_SE_tp_exact;133.0
target__avg_TP_dice;0.9745370370370371
target__avg_dice;0.42915392456676865
target__cum_dice;140.33333333333334
target__f1measure;0.6114649681528662
target__f1measure_exact;0.5782608695652174
target__precision;0.7093596059113301
target__precision_exact;0.6927083333333334
target__recall;0.5373134328358209
target__recall_exact;0.4962686567164179
target_fn;124.0
target_fn_exact;135.0
target_fp;59.0
target_fp_exact;70.0
target_tp;144.0
target_tp_exact;133.0
