LOGFILE_constituency_parse.annotated_extended_a1_gold standard_a2_system_2016-11-01_131252.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.3615782664941785
SE__cum_dice;559.0
SE__f1measure;0.5311163895486936
SE__f1measure_exact;0.5311163895486936
SE__precision;0.5629405840886204
SE__precision_exact;0.5629405840886204
SE__recall;0.5026978417266187
SE__recall_exact;0.5026978417266187
SE_a1;1112.0
SE_a2;993.0
SE_fn;553.0
SE_fn_exact;553.0
SE_fp;434.0
SE_fp_exact;434.0
SE_tp;559.0
SE_tp_exact;559.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9806763285024154
target_SE__avg_dice;0.40277777777777773
target_SE__cum_dice;67.66666666666666
target_SE__f1measure;0.5822784810126582
target_SE__f1measure_exact;0.5579399141630901
target_SE__precision;0.8023255813953488
target_SE__precision_exact;0.7926829268292683
target_SE__recall;0.45695364238410596
target_SE__recall_exact;0.4304635761589404
target_SE_fn;82.0
target_SE_fn_exact;86.0
target_SE_fp;17.0
target_SE_fp_exact;21.0
target_SE_tp;69.0
target_SE_tp_exact;65.0
target__avg_TP_dice;0.9806763285024154
target__avg_dice;0.20079129574678534
target__cum_dice;67.66666666666666
target__f1measure;0.3399014778325124
target__f1measure_exact;0.3233830845771144
target__precision;0.5267175572519084
target__precision_exact;0.5118110236220472
target__recall;0.2509090909090909
target__recall_exact;0.23636363636363636
target_fn;206.0
target_fn_exact;210.0
target_fp;62.0
target_fp_exact;66.0
target_tp;69.0
target_tp_exact;65.0
