LOGFILE_constituency_parse.annotated_extended.only_polar_a1_gold standard_a2_system_2016-12-19_120451.txt;gold standard + system
SE__avg_TP_dice;0.9945522642151853
SE__avg_dice;0.9785594639865994
SE__cum_dice;973.6666666666664
SE__f1measure;0.9918946301925026
SE__f1measure_exact;0.9836567926455567
SE__precision;0.9839195979899498
SE__precision_exact;0.9836567926455567
SE__recall;1.0
SE__recall_exact;0.9836567926455567
SE_a1;979.0
SE_a2;995.0
SE_fn;0.0
SE_fn_exact;16.0
SE_fp;16.0
SE_fp_exact;32.0
SE_tp;979.0
SE_tp_exact;963.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9883720930232558
target_SE__avg_dice;0.2842809364548495
target_SE__cum_dice;85.0
target_SE__f1measure;0.44675324675324674
target_SE__f1measure_exact;0.4345549738219896
target_SE__precision;0.7350427350427351
target_SE__precision_exact;0.7280701754385965
target_SE__recall;0.3208955223880597
target_SE__recall_exact;0.30970149253731344
target_SE_fn;182.0
target_SE_fn_exact;185.0
target_SE_fp;31.0
target_SE_fp_exact;34.0
target_SE_tp;86.0
target_SE_tp_exact;83.0
target__avg_TP_dice;0.9883720930232558
target__avg_dice;0.2842809364548495
target__cum_dice;85.0
target__f1measure;0.44675324675324674
target__f1measure_exact;0.4345549738219896
target__precision;0.7350427350427351
target__precision_exact;0.7280701754385965
target__recall;0.3208955223880597
target__recall_exact;0.30970149253731344
target_fn;182.0
target_fn_exact;185.0
target_fp;31.0
target_fp_exact;34.0
target_tp;86.0
target_tp_exact;83.0
