%% Word {NEG|POS|NEU|SHI|INT}=PolarityStrength PoS
%% INT for Intensifiers
%% INT < 1, e.g. 0.5 is a reduction factor, > 1, e.g. 2 is a gain factor 
%vermindern INT=0.5 verben
besonders INT=2 adj
ständig INT=2 adj
völlig INT=2 adj
%%leicht INT=0.5 adj
%%abschwächen INT=0.5 verben
%%fast INT=0.5 adj
%%weniger INT=0.5 adj
%%wenig INT=0.5 adj
steigern INT=2 verben
sehr INT=2 adj
äusserst INT=2 adj
äußerst INT=2 adj
%mehrheitlich INT=0.5 adj
enorm INT=2 adj
erheblich INT=2 adj
bleiben INT=2 verben
exzeptionell INT=2 adj
viel INT=2 adj
%%förmlich INT=0.5 adj
ziemlich INT=2 adj
zusätzlich INT=2 adj
maximal INT=2 adj
extrem INT=2 adj
intensiv INT=2 adj
unvermindert INT=2 adj
groß INT=2 adj
gross INT=2 adj
recht INT=2 adj
tatsächlich INT=2 adj
unglaublich INT=2 adj
wirklich INT=2 adj
unglaublich INT=2 adj
richtig INT=2 adj
verdammt INT=2 adj
